ACO,BMType,Count,RA_2000,Dec_2000,Redshift,Richness,D_class,Mag_10,GLON_2000,GLAT_2000
203,II-III:,71,22.075,1.8666666666666667,,1,5,17.0,141.4150009548382,-59.675716464949076
204,III,55,22.149999999999995,-6.783333333333333,.1557,1,6,17.5,148.0637921165682,-67.82326032597746
205,III:,77,22.25,6.2,,1,6,17.6,139.55378417813537,-55.45486198722299
206,,39,22.125,-25.583333333333332,,0,6,17.5,204.4741056675299,-81.55725620522237
207,,41,22.275,-2.4833333333333334,,0,5,17.2,144.62470852724454,-63.75750970506123
208,,41,22.9,0.5333333333333333,,0,5,16.6,143.80179408963238,-60.70069801496515
209,II-III:,158,22.999999999999996,-13.566666666666666,.206,3,6,17.8,159.8784074959978,-73.45648667708817
210,,34,23.074999999999996,-25.966666666666665,,0,6,17.5,207.99486098008137,-80.79070459833562
211,II:,83,23.199999999999996,-4.0,,2,5,17.2,147.85183128007293,-64.8513452298945
212,,44,23.575,4.483333333333333,,0,5,17.2,142.6836881479221,-56.73569599930198
213,III,50,23.849999999999994,20.616666666666667,,1,6,17.7,136.62557819378907,-41.083206161282995
214,I,71,23.575,-26.083333333333332,,1,6,17.5,209.13092745633705,-80.36536603774663
215,III:,66,23.849999999999994,-23.433333333333334,,1,6,17.5,194.95135356780435,-79.40273720997634
216,II-III,70,24.175,-6.4,.1158,1,5,17.2,152.39734786227112,-66.64661500818114
217,II:,64,24.149999999999995,-8.033333333333333,.1126,1,5,17.0,154.26802089224992,-68.11333809638717
218,III,59,24.149999999999995,-10.733333333333333,,1,6,17.8,158.04300485759995,-70.46141158547822
219,III,62,24.324999999999996,9.15,,1,5,17.2,141.54434990695367,-52.05661958881311
220,II,69,24.324999999999996,7.933333333333334,,1,6,17.5,142.12896563250635,-53.220425384296135
221,III,71,24.525,18.133333333333333,,1,6,17.7,138.2532628240185,-43.34589510453495
222,II-III:,155,24.374999999999996,-12.966666666666667,.211,3,6,17.6,162.46610782688816,-72.20415156631672
223,III,152,24.499999999999996,-12.766666666666667,.207,3,6,17.6,162.41100075882724,-71.97056450676536
224,III,75,24.574999999999996,-6.933333333333334,.1617,1,5,17.0,153.90779004295527,-66.94346229012224
225,II-III,51,24.724999999999998,18.883333333333333,.0692,1,4,15.9,138.25019408826674,-42.57229089377811
226,II,75,24.749999999999996,-10.233333333333333,.1282,1,6,17.6,158.74654882485814,-69.72607666033663
227,II,79,24.949999999999996,18.183333333333334,,1,6,17.7,138.7727740294421,-43.195904824410725
228,,33,24.799999999999997,-10.033333333333333,.1289,0,6,17.6,158.56335957161582,-69.53022964002061
229,III,77,24.849999999999998,-3.6166666666666667,,1,5,16.6,150.9890960934187,-63.8444110304111
230,III,104,24.874999999999996,-11.35,,2,6,17.6,160.83877224624723,-70.59679294969524
231,,48,25.15,24.516666666666666,,0,6,17.9,136.96877649194985,-37.01143671811745
232,III:,71,25.025,-10.35,.1874,1,6,17.6,159.58553859455506,-69.68000061184999
233,II-III,58,25.074999999999996,-1.8166666666666667,,1,5,17.2,149.81166839313664,-62.11102754253073
234,II-III:,76,25.249999999999996,18.916666666666668,.1731,1,6,17.9,138.89032871499134,-42.414093128308735
235,III:,74,25.049999999999997,-17.4,,1,6,17.5,174.6269404697417,-75.12096686500746
236,II-III:,58,25.124999999999996,-11.833333333333334,.1874,1,5,17.2,162.280359914669,-70.8559942843613
237,,34,25.249999999999996,0.26666666666666666,,0,5,16.6,148.44965825628267,-60.126432269308914
238,III,63,25.224999999999998,-23.033333333333335,,1,6,17.5,195.5545681732501,-78.08266900710683
239,III,80,25.349999999999998,-11.766666666666667,,2,6,17.6,162.70821339106092,-70.67410125706141
240,II-III,43,25.474999999999994,7.616666666666667,.0618,0,3,15.6,144.101089624119,-53.168377027403984
241,III,68,25.4,-16.233333333333334,,1,6,17.6,172.35089964214473,-74.06823482868333
242,I-II,52,25.474999999999994,-14.3,,1,6,18.0,167.96965427794802,-72.59597319257213
243,,47,25.625,-10.216666666666667,.1117,0,5,16.6,160.78560663422684,-69.24516371794448
244,III,61,26.05,18.483333333333334,,1,6,17.6,140.0382481897203,-42.62906086424399
245,,40,26.024999999999995,6.383333333333334,.0790,0,4,16.4,145.66662390768664,-54.147442894036644
246,II-III,56,26.174999999999997,5.8,.0700,1,4,16.4,146.2574300721531,-54.64162521003945
247,III,57,26.299999999999997,17.633333333333333,,1,5,16.9,140.67604626868388,-43.37836072633112
248,II-III:,79,26.199999999999996,-2.25,,1,6,17.6,152.37879536030223,-62.031647627944935
249,III,63,26.674999999999997,20.033333333333335,,1,6,17.7,140.2187742696622,-40.97603472564144
250,III,53,26.749999999999996,19.666666666666668,,1,6,17.7,140.4463911486118,-41.30775491529928
251,,47,26.599999999999998,-7.3,,0,5,17.2,158.76602087424598,-66.26969112936308
252,III,64,26.65,-2.7,,1,6,17.8,153.66935912283847,-62.233472365600754
253,III,61,26.949999999999996,20.633333333333333,,1,6,17.9,140.32108469914917,-40.327599617630504
254,III,96,26.799999999999997,-3.283333333333333,,2,6,17.6,154.5387293864356,-62.68194194470257
255,II-III:,70,26.824999999999996,-1.9833333333333334,,1,5,17.2,153.31157418122868,-61.51532051758986
256,III,75,26.9,-3.85,,1,5,17.0,155.31980608765846,-63.134210816939586
257,II-III,51,27.249999999999996,13.966666666666667,.0706,1,5,16.9,143.48000652775121,-46.595708923555534
258,,44,27.524999999999995,23.45,,0,6,17.7,139.94970601031014,-37.47556399786646
259,,31,27.574999999999996,-11.983333333333333,.1273,0,5,17.2,168.1464548958334,-69.50647177002905
260,II,51,27.974999999999998,33.15,.0348,1,4,15.8,137.25253121993651,-28.03482645366712
261,I,63,27.849999999999998,-2.2333333333333334,.0467,1,5,17.2,155.44830909947615,-61.26073247888018
262,III,40,28.199999999999996,36.13333333333333,.0161,0,1,13.3,136.5802160075749,-25.106841731443573
263,,51,28.349999999999998,37.55,,1,6,17.8,136.303336472157,-23.707632642088832
264,II-III:,66,27.949999999999996,-25.766666666666666,,1,6,17.7,210.58698001396976,-76.42867238584697
265,III,98,28.099999999999998,-7.016666666666667,,2,6,17.6,161.43760785764505,-65.22480819928282
266,,38,28.15,-4.133333333333334,,0,5,17.2,158.01034811636086,-62.76247383549717
267,,37,28.224999999999994,1.0333333333333334,,0,5,16.6,153.10660144298498,-58.19129842430873
268,,44,28.349999999999998,-1.1166666666666667,,0,5,16.6,155.25673430843344,-60.04093338450308
269,II-III,58,28.374999999999996,-4.316666666666666,,1,5,17.2,158.637533090516,-62.803444191557176
270,III,61,28.449999999999996,-2.8166666666666664,,1,6,17.6,157.13525423552144,-61.475657499775295
271,,32,28.525,1.75,,0,5,16.6,153.00916383444286,-57.416145636165005
272,III,52,28.824999999999996,33.93333333333333,.0877,1,5,16.8,137.78459687244504,-27.089821145952875
273,III:,58,28.525,-23.533333333333335,,1,6,17.7,202.14357561526683,-75.40308794803998
274,III,140,28.674999999999997,-6.266666666666667,.1289,3,4,16.3,161.56594708298206,-64.283690696485
275,III,50,28.949999999999996,14.65,,1,5,17.1,145.38172629679437,-45.3976446415924
276,,39,29.274999999999995,41.35,,0,4,16.3,135.9672436326739,-19.853770607934752
277,III,50,28.949999999999996,-7.366666666666666,.0947,1,3,15.6,163.55866633515666,-65.03016718492069
278,III,38,29.325,32.21666666666667,.0896,0,3,15.6,138.78528151894798,-28.619455129939176
279,I-II,70,29.099999999999994,1.05,.0797,1,5,17.2,154.55992661799237,-57.77652305269381
280,,40,29.124999999999996,-1.7666666666666666,,0,6,17.4,157.25229280799212,-60.22900779695553
281,,47,29.274999999999995,-5.833333333333333,.088,0,5,17.0,162.1344814005321,-63.58986701561567
282,,46,29.249999999999996,-10.1,,0,6,17.8,168.26489471078781,-67.00697999891946
