,RAhour,DEdeg,radius,d
629,6.5072,9.741,0.085,2088.0
630,6.517,-4.215,0.115,7655.0
631,6.5139,-9.65,0.13,2069.0
632,6.518,9.91,0.17,635.0
633,6.5173,10.435,0.18,1871.0
634,6.521,11.083,0.155,1933.0
635,6.528,5.975,0.155,1259.0
636,6.5242,6.804,0.095,2290.0
637,6.531,11.845,0.145,1916.0
638,6.532,4.94,0.365,1532.0
639,6.543,12.543,0.135,2308.0
640,6.5555,35.265,0.14,1551.0
641,6.555,20.525,0.125,4724.0
642,6.5618,22.288,0.155,1786.0
643,6.5615,-5.08,0.165,1338.0
644,6.57,8.01,0.17,1432.0
645,6.5706,4.46,0.1,1174.0
646,6.569,-34.944,0.09,2180.0
647,6.575,-3.84,0.14,1952.0
648,6.575,5.37,0.22,900.0
649,6.5741,31.4,0.11,3300.0
650,6.5755,-5.245,0.15,2038.0
651,6.577,26.305,0.05,3001.0
652,6.577,8.37,0.18,1329.0
653,6.5772,-0.267,0.175,2032.0
654,6.586,17.742,0.135,2955.0
655,6.5915,-14.99,0.16,2817.0
656,6.5961,7.67,0.15,2928.0
657,6.6013,-0.667,0.125,1551.0
658,6.6045,4.0,0.1,1944.0
659,6.605,-30.865,0.155,1474.0
660,6.6075,-7.32,0.155,2201.0
661,6.609,-14.193,0.14,1204.0
662,6.6075,4.773,0.1,2025.0
663,6.605,8.33,0.095,1560.0
664,6.608,9.47,0.35,2753.0
665,6.617,3.07,0.195,1490.0
666,6.6195,-10.085,0.15,2864.0
667,6.6205,6.07,0.51,1581.0
668,6.63,-0.867,0.16,5527.0
669,6.6283,-2.819,0.16,1922.0
670,6.6422,10.875,0.18,3060.0
671,6.645,2.035,0.35,2362.0
672,6.6417,4.635,0.18,1447.0
673,6.6472,6.915,0.115,1191.0
674,6.661,1.14,0.14,2511.0
675,6.6662,1.533,0.15,1202.0
676,6.6665,13.265,0.075,4626.0
677,6.669,-27.29,0.12,1925.0
678,6.667,-28.77,0.17,1685.0
679,6.6685,-1.745,0.165,4040.0
680,6.6728,9.005,0.13,1775.0
681,6.6785,-17.16,0.15,3720.0
682,6.683,9.88,0.39,650.0
683,6.687,-16.495,0.14,11400.0
684,6.6836,-29.55,0.09,3161.0
685,6.6845,9.6,0.195,2647.0
686,6.6958,11.91,0.13,2892.0
687,6.701,-0.883,0.17,1298.0
688,6.7015,-29.445,0.14,1259.0
689,6.7105,0.1,0.21,1195.0
690,6.7175,1.675,0.11,2362.0
691,6.719,27.165,0.105,3744.0
692,6.7205,4.615,0.155,1585.0
693,6.7223,26.985,0.125,3311.0
694,6.726,2.175,0.075,2088.0
695,6.732,1.395,0.135,2753.0
696,6.7315,9.425,0.16,1306.0
697,6.733,3.47,0.2,1415.0
698,6.7455,1.735,0.14,1261.0
699,6.7455,-31.893,0.11,1833.0
700,6.7438,-0.56,0.085,6365.0
701,6.752,0.24,0.12,2800.0
702,6.7578,-11.79,0.07,7468.0
703,6.759,24.595,0.21,1989.0
704,6.7675,-20.745,0.44,769.0
705,6.7725,-10.985,0.13,2325.0
706,6.7765,1.797,0.115,2272.0
707,6.782,1.325,0.13,1893.0
708,6.784,-0.01,0.12,2398.0
